"Año","Estado","Fondo","Mdp","Población","Percápita"
1998,"Aguascalientes","Fondo de aportaciones para la educación básica y formal",2186,"   974,940.0","2,242.2"
1998,"Aguascalientes","Apoyos alimentarios",47.7,"   974,940.0","   49.0"
1998,"Aguascalientes","Fondo para la infraestructura social estatal",10.6,"   974,940.0","   10.9"
1998,"Aguascalientes","Fondo de aportaciones para la educación tecnológica y de adultos",0,"   974,940.0","    0.0"
1998,"Aguascalientes","Fondo para la infraestructura social municipal",242.6,"   974,940.0","  248.8"
1998,"Aguascalientes","Fondo de aportaciones para la infraestructura social",253.2,"   974,940.0","  259.7"
1998,"Aguascalientes","Apoyos para infraestructura educativa",50.6,"   974,940.0","   51.9"
1998,"Aguascalientes","Total",3114.5,"   974,940.0","3,194.5"
1998,"Aguascalientes","Fondo de aportaciones múltiples",116.2,"   974,940.0","  119.2"
1998,"Aguascalientes","Fondo de aportaciones para el fortalecimiento de las Entidades Federativas",0,"   974,940.0","    0.0"
1998,"Aguascalientes","Fondo de aportaciones para el fortaleciomiento de los municipios y de las demarcaciones territoriales del distrito federal",132.2,"   974,940.0","  135.6"
1998,"Aguascalientes","Apoyos para la educaciónn superior",17.8,"   974,940.0","   18.3"
1998,"Aguascalientes","Fondo de aportaciones para la seguridad pública de los Estados y del Distrito Federal",0,"   974,940.0","    0.0"
1998,"Aguascalientes","Fondo de aportaciones para los servicios de salud",426.9,"   974,940.0","  437.8"
1998,"Durango","Fondo para la infraestructura social estatal",42.7," 1,482,259.0","   28.8"
1998,"Durango","Apoyos para la educaciónn superior",9.3," 1,482,259.0","    6.3"
1998,"Durango","Fondo de aportaciones para la educación básica y formal",3904.7," 1,482,259.0","2,634.3"
1998,"Durango","Fondo de aportaciones para el fortaleciomiento de los municipios y de las demarcaciones territoriales del distrito federal",219.3," 1,482,259.0","  148.0"
1998,"Durango","Apoyos alimentarios",97.5," 1,482,259.0","   65.8"
1998,"Durango","Fondo de aportaciones para los servicios de salud",624.4," 1,482,259.0","  421.3"
1998,"Durango","Fondo de aportaciones para la seguridad pública de los Estados y del Distrito Federal",0," 1,482,259.0","    0.0"
1998,"Durango","Apoyos para infraestructura educativa",65.2," 1,482,259.0","   44.0"
1998,"Durango","Fondo de aportaciones para el fortalecimiento de las Entidades Federativas",0," 1,482,259.0","    0.0"
1998,"Durango","Total",5366.5," 1,482,259.0","3,620.5"
1998,"Durango","Fondo de aportaciones para la infraestructura social",446," 1,482,259.0","  300.9"
1998,"Durango","Fondo para la infraestructura social municipal",403.2," 1,482,259.0","  272.0"
1998,"Durango","Fondo de aportaciones para la educación tecnológica y de adultos",0," 1,482,259.0","    0.0"
1998,"Durango","Fondo de aportaciones múltiples",172," 1,482,259.0","  116.1"
1998,"Guanajuato","Fondo para la infraestructura social estatal",139," 5,074,849.0","   27.4"
1998,"Guanajuato","Fondo para la infraestructura social municipal",884.9," 5,074,849.0","  174.4"
1998,"Guanajuato","Fondo de aportaciones para la educación básica y formal",6596.5," 5,074,849.0","1,299.8"
1998,"Guanajuato","Apoyos para infraestructura educativa",116.2," 5,074,849.0","   22.9"
1998,"Guanajuato","Fondo de aportaciones para la infraestructura social",1023.9," 5,074,849.0","  201.8"
1998,"Guanajuato","Fondo de aportaciones múltiples",183," 5,074,849.0","   36.1"
1998,"Guanajuato","Fondo de aportaciones para la seguridad pública de los Estados y del Distrito Federal",0," 5,074,849.0","    0.0"
1998,"Guanajuato","Fondo de aportaciones para el fortaleciomiento de los municipios y de las demarcaciones territoriales del distrito federal",675.3," 5,074,849.0","  133.1"
1998,"Guanajuato","Total",9548.4," 5,074,849.0","1,881.5"
1998,"Guanajuato","Apoyos alimentarios",46.1," 5,074,849.0","    9.1"
1998,"Guanajuato","Fondo de aportaciones para los servicios de salud",1069.8," 5,074,849.0","  210.8"
1998,"Guanajuato","Fondo de aportaciones para el fortalecimiento de las Entidades Federativas",0," 5,074,849.0","    0.0"
1998,"Guanajuato","Apoyos para la educaciónn superior",20.8," 5,074,849.0","    4.1"
1998,"Guanajuato","Fondo de aportaciones para la educación tecnológica y de adultos",0," 5,074,849.0","    0.0"
1998,"Guerrero","Fondo de aportaciones para la infraestructura social",1527.6," 3,204,303.0","  476.7"
1998,"Guerrero","Fondo de aportaciones para los servicios de salud",1504.1," 3,204,303.0","  469.4"
1998,"Guerrero","Apoyos para infraestructura educativa",180.8," 3,204,303.0","   56.4"
1998,"Guerrero","Fondo de aportaciones para la educación básica y formal",8245.8," 3,204,303.0","2,573.4"
1998,"Guerrero","Apoyos para la educaciónn superior",9.3," 3,204,303.0","    2.9"
1998,"Guerrero","Fondo de aportaciones para el fortalecimiento de las Entidades Federativas",0," 3,204,303.0","    0.0"
1998,"Guerrero","Fondo de aportaciones para la seguridad pública de los Estados y del Distrito Federal",0," 3,204,303.0","    0.0"
1998,"Guerrero","Apoyos alimentarios",151.5," 3,204,303.0","   47.3"
1998,"Guerrero","Fondo para la infraestructura social municipal",1304.7," 3,204,303.0","  407.2"
1998,"Guerrero","Total",12066.1," 3,204,303.0","3,765.6"
1998,"Guerrero","Fondo de aportaciones para la educación tecnológica y de adultos",0," 3,204,303.0","    0.0"
1998,"Guerrero","Fondo de aportaciones para el fortaleciomiento de los municipios y de las demarcaciones territoriales del distrito federal",447," 3,204,303.0","  139.5"
1998,"Guerrero","Fondo para la infraestructura social estatal",222.9," 3,204,303.0","   69.6"
1998,"Guerrero","Fondo de aportaciones múltiples",341.6," 3,204,303.0","  106.6"
1998,"Hidalgo","Fondo de aportaciones para la infraestructura social",738.8," 2,359,558.0","  313.1"
1998,"Hidalgo","Fondo de aportaciones para el fortalecimiento de las Entidades Federativas",0," 2,359,558.0","    0.0"
1998,"Hidalgo","Apoyos para infraestructura educativa",118.1," 2,359,558.0","   50.0"
1998,"Hidalgo","Fondo de aportaciones para la seguridad pública de los Estados y del Distrito Federal",0," 2,359,558.0","    0.0"
1998,"Hidalgo","Fondo de aportaciones para la educación básica y formal",5530.4," 2,359,558.0","2,343.8"
